"title","description","label"
"Dominican Republic nightclub collapse kills 98","At least 98 people have been killed and more than 150 injured after a roof collapsed at a nightclub in the Dominican Republic's capital Santo Domingo, officials have said.","0"
"Experts dispute claim dire wolf brought back from extinction","There is a magnificent, snow-white wolf on the cover of Time Magazine today - accompanied by a headline announcing the return of the dire wolf.","0"
"China is not backing down from Trump's tariff war. What next?","The trade war between the world's two biggest economies shows no signs of slowing down - Beijing has vowed to ""fight to the end"" hours after US President Donald Trump threatened to nearly double the tariffs on China.","0"
"See the Trump tariffs list by country","President Donald Trump's tariffs on dozens of countries took effect on Wednesday, including huge 104% duties on Chinese goods.","0"
"Is the US heading for a recession? Three warning signs to watch","Global stock markets have been in a frenzy after US President Donald Trump announced new widespread tariffs on 2 April, which he dubbed ""Liberation Day"".","0"
"Nursing home fire in China kills 20 people","Twenty people have been killed in a fire at a nursing home in north-east China, state media report.","0"
"US and Russia to hold fresh embassy talks in Turkey","Delegates from the US and Russia will meet in Istanbul on Thursday as part of continued efforts to normalise embassy operations between the two countries, the US State Department has said.","0"
"What do Americans think of Trump's foreign policies?","In his first few weeks back in the Oval Office, US President Donald Trump made several extraordinary decisions on foreign policy.","0"
"Royal Society of Biology mourns murdered scientist","Tributes have been paid to a London-based scientist who formerly worked for the Royal Society of Biology (RSB) after he was found murdered in northern Colombia.","0"
"Can the US return man deported to El Salvador? Immigration lawyers think so","On 12 March, Kilmar Abrego Garcia was driving home with his young son in Maryland when he was stopped by agents from US Immigration and Customs Enforcement (ICE).","0"
"At a glance: Trump's tariffs on China, EU and rest of the world","On 2 April US President Donald Trump announced a sweeping set of tariffs arguing that they would allow the United States to economically flourish.","0"
"'Black Mirror could just run and run', says Charlie Brooker","It's only been a couple of years since the last series of Charlie Brooker's dystopian Netflix show Black Mirror landed. But we're now living in an unpredictable world and a lot can happen in a short space of time.","0"
"Menendez brothers feel 'hope' for parole after decades in jail","For the first time in decades, Lyle and Erik Menendez say they are beginning to feel hope they could get parole. It is a shift in mindset for the brothers, who have spent more than 30 years behind bars for the murders of their parents in their Beverly Hills home.","0"
"Trump's game of chicken over tariffs leaves world guessing","A day before Donald Trump's ""reciprocal"" tariffs are scheduled to kick in, the US president appears locked in a high-stakes game of chicken, with the world's economy hanging in the balance.","0"
"Government considers nationalising British Steel","The government is considering nationalising British Steel as fears grow among ministers that the company's blast furnaces in Scunthorpe could run out of raw materials within days.","0"
"Is the world heading into recession?","US President Donald Trump's tariffs have ignited wildfires across global stock markets, but does that mean we are heading for a recession?","0"
"Trump threatens new 50% tariffs on China","Donald Trump has threatened China with an extra 50% tariff on goods imported into the US if it does not withdraw its 34% counter-tariff, as global markets continue to fall.","0"
"Government rejects 'buy British' campaign to combat tariffs","Downing Streethas declined to officially back a ""buy British"" campaign in response to Donald Trump's tariffs.","0"
"Billionaire Trump backer warns of 'economic nuclear winter' over tariffs","A billionaire backer of Donald Trump has urged the US president to pause his recently announced trade tariffs, or risk ""a self-induced, economic nuclear winter"".","0"
"Stocks, tariffs and pensions - your questions answered","Markets are reeling from US President Donald Trump's tariff announcements, but the American leader is standing by his decisions,defending his policiesand saying ""sometimes you have to take medicine to fix something"".","0"
"Tariffs have shaken the markets - how worried should we be?","The sharp fall in stock markets across the world shows no sign of letting up after the US imposition of sweeping and swingeing tariffs and many are asking does this qualify as a stock market ""crash"" and what that could mean for them?","0"
"Musk labels Trump trade adviser 'moron' over Tesla comments","Elon Musk has called President Donald Trump's trade adviser, Peter Navarro, a ""moron"" over comments he made about his electric vehicle firm, Tesla.","0"
"A revolution is under way in India's trainer industry","It's likely that you have not heard of Taiwan's Hong Fu Industrial Group, but look down on a busy street and you may well see its products.","0"
"Who are the tariff 'PANICANS' derided as 'weak and stupid' by Trump?","US President Donald Trump has urged Americans to trust in his sweeping tariffs, which have spooked markets and threaten to upend global trade, urging them: ""Don't be a PANICAN (A new party based on Weak and Stupid people!).""","0"
"Wild market swings as tariffs rattle US economy","Shares in the US stemmed their losses on Monday, as investors clung to hopes that US President Donald Trump would turn from tariffs to trade deals.","0"
"BBC's AI correspondent explains why DeepSeek has caused shockwaves","Chinese AI bot DeepSeek has disrupted the stock market, with US President Donald Trump calling its rise ""a wake-up call"" for the US tech industry.","0"
"Watch: A real-life flying car takes to the skies","An aeronautical company in the US has released footage showing a concept version of its flying car performing a vertical take-off before flying over an SUV.","0"
"Clean energy's share of world's electricity reaches 40%, report says","More than 40 percent of the world's electricity was generated without burning fossil fuels in 2024, according toa new report from think-tank Ember.","0"
"Pupils studying esports in Scottish Borders school","Selkirk High School in the Scottish Borders has introduced an esports qualification, that seven pupils are planning to take.","0"
